 workclass, education, race,gender, income
 Self-emp-inc, Some-college, White, Male, >50K
 ?, Some-college, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Bachelors, Black, Female, <=50K
 Self-emp-not-inc, Bachelors, White, Male, >50K
 Private, Some-college, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Assoc-acdm, White, Male, <=50K
 ?, 10th, White, Male, <=50K
 Private, 11th, White, Female, <=50K
 Local-gov, 7th-8th, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Female, >50K
 Private, HS-grad, White, Female, <=50K
 Local-gov, HS-grad, White, Male, >50K
 Private, Masters, White, Male, <=50K
 Private, 9th, White, Male, <=50K
 Federal-gov, Doctorate, White, Female, >50K
 Private, Assoc-voc, White, Male, <=50K
 Private, Some-college, White, Female, <=50K
 Private, Some-college, Black, Female, <=50K
 Private, HS-grad, Asian-Pac-Islander, Female, <=50K
 Local-gov, Bachelors, White, Male, >50K
 Local-gov, Some-college, White, Male, <=50K
 Self-emp-not-inc, Doctorate, White, Male, >50K
 Private, Some-college, White, Male, >50K
 Private, Assoc-acdm, White, Female, <=50K
 Federal-gov, HS-grad, Black, Male, <=50K
 Private, Masters, White, Male, >50K
 Private, Bachelors, White, Male, >50K
 Self-emp-not-inc, Masters, White, Female, <=50K
 Private, Some-college, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Self-emp-inc, HS-grad, White, Male, >50K
 ?, 10th, White, Female, <=50K
 Private, 11th, White, Male, <=50K
 Local-gov, HS-grad, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, Prof-school, White, Male, >50K
 Self-emp-not-inc, HS-grad, White, Male, >50K
 Private, Some-college, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, 9th, White, Male, <=50K
 Self-emp-inc, Some-college, White, Male, <=50K
 Local-gov, Assoc-voc, Black, Male, >50K
 Private, Some-college, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Some-college, White, Female, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, Bachelors, Black, Male, <=50K
 State-gov, Bachelors, White, Male, >50K
 Private, Some-college, Black, Male, <=50K
 Private, Bachelors, White, Female, >50K
 Private, Some-college, White, Female, <=50K
 Private, Assoc-acdm, White, Male, >50K
 ?, HS-grad, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Assoc-acdm, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, Assoc-acdm, Black, Female, <=50K
 Federal-gov, Masters, White, Male, >50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Private, Assoc-voc, White, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Some-college, Asian-Pac-Islander, Male, >50K
 Self-emp-inc, HS-grad, White, Male, <=50K
 Private, Some-college, White, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Assoc-voc, White, Female, >50K
 Private, Some-college, White, Male, <=50K
 Private, HS-grad, Black, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, 11th, White, Male, <=50K
 ?, Some-college, White, Female, <=50K
 Local-gov, Some-college, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, Bachelors, Asian-Pac-Islander, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 ?, HS-grad, White, Male, >50K
 Private, HS-grad, White, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Self-emp-not-inc, Some-college, Black, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Bachelors, Black, Male, <=50K
 ?, 1st-4th, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Self-emp-inc, Masters, Asian-Pac-Islander, Female, <=50K
 Private, HS-grad, Asian-Pac-Islander, Female, <=50K
 Self-emp-not-inc, Masters, White, Male, >50K
 Private, Some-college, White, Female, <=50K
 Federal-gov, Assoc-acdm, White, Male, <=50K
 State-gov, Masters, White, Male, <=50K
 Private, 11th, White, Male, <=50K
 Local-gov, Assoc-voc, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 State-gov, HS-grad, White, Male, <=50K
 Private, Some-college, White, Male, >50K
 Private, Bachelors, White, Male, <=50K
 State-gov, Bachelors, White, Male, >50K
 Private, HS-grad, White, Female, <=50K
 Private, HS-grad, Black, Male, <=50K
 Private, HS-grad, Black, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Local-gov, Some-college, Black, Male, >50K
 Private, Some-college, White, Female, <=50K
 Private, Some-college, Black, Male, <=50K
 Private, 7th-8th, White, Male, >50K
 Federal-gov, Some-college, White, Male, >50K
 Private, HS-grad, Black, Male, <=50K
 Self-emp-not-inc, Bachelors, White, Female, <=50K
 ?, Bachelors, White, Female, <=50K
 Private, Masters, White, Female, <=50K
 State-gov, Doctorate, White, Male, >50K
 Private, Some-college, Black, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Local-gov, Bachelors, Black, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Federal-gov, Bachelors, White, Male, <=50K
 Private, 5th-6th, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Federal-gov, Masters, White, Female, >50K
 Private, Masters, White, Male, >50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Private, Masters, White, Female, <=50K
 ?, HS-grad, White, Male, <=50K
 Private, Bachelors, White, Male, >50K
 Local-gov, Some-college, White, Female, <=50K
 State-gov, HS-grad, White, Female, <=50K
 Private, 11th, White, Female, <=50K
 Private, Bachelors, Black, Male, >50K
 Private, HS-grad, White, Male, <=50K
 Self-emp-inc, HS-grad, White, Female, >50K
 Private, 11th, White, Female, <=50K
 Local-gov, HS-grad, Black, Male, <=50K
 Private, HS-grad, White, Male, >50K
 Private, Some-college, Amer-Indian-Eskimo, Female, <=50K
 Private, HS-grad, Asian-Pac-Islander, Male, <=50K
 Self-emp-inc, 7th-8th, White, Male, >50K
 Private, Bachelors, Black, Male, >50K
 Private, Assoc-acdm, White, Female, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, 10th, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 ?, 1st-4th, White, Male, <=50K
 Private, HS-grad, Black, Male, <=50K
 Private, HS-grad, Black, Male, <=50K
 Local-gov, Preschool, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 ?, 10th, Amer-Indian-Eskimo, Female, <=50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Private, Assoc-voc, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, 11th, Black, Male, <=50K
 Private, HS-grad, Black, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Some-college, Other, Female, <=50K
 Private, Prof-school, White, Male, >50K
 State-gov, HS-grad, White, Male, <=50K
 State-gov, Some-college, White, Female, <=50K
 Private, Bachelors, White, Male, >50K
 Local-gov, Masters, White, Male, >50K
 Private, HS-grad, White, Male, <=50K
 Private, Bachelors, White, Male, >50K
 Self-emp-not-inc, HS-grad, White, Female, <=50K
 State-gov, Assoc-acdm, White, Male, <=50K
 ?, Some-college, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, >50K
 Private, HS-grad, White, Female, <=50K
 Private, Assoc-acdm, White, Male, >50K
 Private, HS-grad, White, Male, <=50K
 Private, Prof-school, White, Female, >50K
 Private, Bachelors, Black, Female, <=50K
 Local-gov, 10th, Black, Female, <=50K
 Local-gov, Some-college, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Self-emp-not-inc, HS-grad, Asian-Pac-Islander, Male, >50K
 Private, HS-grad, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, Assoc-voc, White, Female, <=50K
 Private, 7th-8th, White, Male, <=50K
 Private, Bachelors, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, 11th, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, 11th, White, Male, <=50K
 Self-emp-inc, Some-college, Asian-Pac-Islander, Male, >50K
 ?, Some-college, White, Male, <=50K
 Private, HS-grad, White, Male, >50K
 Private, Bachelors, White, Female, <=50K
 Private, HS-grad, White, Female, >50K
 Private, HS-grad, White, Male, >50K
 Private, 9th, White, Male, <=50K
 Self-emp-not-inc, Masters, White, Male, <=50K
 Local-gov, Masters, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, HS-grad, Black, Male, <=50K
 Private, Some-college, White, Male, >50K
 Private, Some-college, White, Female, <=50K
 Private, Some-college, White, Female, <=50K
 Private, Some-college, White, Female, >50K
 Private, Bachelors, White, Female, <=50K
 Local-gov, Some-college, White, Male, >50K
 Private, Assoc-acdm, Black, Female, <=50K
 Private, Bachelors, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Federal-gov, Masters, White, Male, >50K
 Private, Prof-school, White, Male, >50K
 Private, Some-college, White, Male, <=50K
 Private, Bachelors, White, Female, <=50K
 Private, 7th-8th, White, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Local-gov, Bachelors, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Bachelors, Black, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Self-emp-inc, Bachelors, White, Female, <=50K
 ?, Masters, Asian-Pac-Islander, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Bachelors, White, Male, >50K
 Private, Some-college, Asian-Pac-Islander, Female, <=50K
 Private, HS-grad, White, Male, >50K
 Private, HS-grad, White, Male, >50K
 Private, Some-college, Asian-Pac-Islander, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, Assoc-acdm, White, Male, <=50K
 Private, Assoc-acdm, White, Female, <=50K
 Private, Assoc-acdm, White, Male, >50K
 Self-emp-inc, Some-college, White, Male, >50K
 Private, Bachelors, White, Male, <=50K
 Private, Masters, Asian-Pac-Islander, Male, >50K
 ?, Some-college, Black, Female, <=50K
 Self-emp-not-inc, Bachelors, Black, Female, >50K
 Private, Some-college, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Self-emp-not-inc, Some-college, White, Male, <=50K
 Private, 5th-6th, White, Female, <=50K
 Private, Some-college, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, 11th, White, Female, <=50K
 Self-emp-not-inc, Masters, White, Male, <=50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 ?, Assoc-voc, Black, Female, <=50K
 Private, Some-college, White, Female, >50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Some-college, Black, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, Assoc-voc, White, Male, <=50K
 Local-gov, 10th, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, 5th-6th, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Masters, White, Male, <=50K
 Private, HS-grad, Black, Male, <=50K
 Private, HS-grad, Black, Male, <=50K
 Private, Assoc-acdm, White, Male, <=50K
 Private, Assoc-voc, White, Male, >50K
 State-gov, HS-grad, White, Male, >50K
 Private, HS-grad, White, Male, <=50K
 State-gov, Some-college, Black, Female, <=50K
 Self-emp-not-inc, Bachelors, White, Male, <=50K
 ?, 11th, White, Male, <=50K
 ?, Assoc-voc, White, Female, <=50K
 Private, Assoc-acdm, White, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, Bachelors, White, Male, >50K
 Private, HS-grad, White, Male, <=50K
 Private, Bachelors, White, Male, >50K
 Local-gov, 11th, White, Male, <=50K
 ?, Bachelors, White, Male, >50K
 Federal-gov, HS-grad, White, Male, >50K
 Private, 11th, Other, Male, <=50K
 Private, Assoc-voc, White, Male, >50K
 Private, HS-grad, White, Female, <=50K
 Self-emp-not-inc, 9th, White, Male, <=50K
 Private, 10th, White, Female, <=50K
 Private, Masters, White, Male, >50K
 Private, Bachelors, White, Male, <=50K
 Private, Bachelors, White, Male, >50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Self-emp-not-inc, Some-college, White, Male, <=50K
 Private, Assoc-acdm, White, Female, <=50K
 Private, Bachelors, White, Female, >50K
 Private, HS-grad, White, Female, <=50K
 Federal-gov, Some-college, White, Female, <=50K
 Private, 11th, White, Male, <=50K
 State-gov, Assoc-voc, White, Male, >50K
 Private, HS-grad, Black, Male, <=50K
 Private, HS-grad, Black, Male, <=50K
 Local-gov, Some-college, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Self-emp-not-inc, Masters, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, 5th-6th, White, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Some-college, White, Female, <=50K
 Local-gov, Some-college, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Some-college, White, Female, >50K
 Private, Some-college, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, HS-grad, White, Female, >50K
 Private, Bachelors, White, Male, <=50K
 Self-emp-not-inc, Assoc-acdm, White, Male, <=50K
 State-gov, Bachelors, White, Male, >50K
 Private, HS-grad, White, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Some-college, White, Female, <=50K
 ?, HS-grad, White, Female, <=50K
 Private, Bachelors, White, Male, >50K
 Self-emp-inc, Bachelors, White, Male, >50K
 Private, Some-college, White, Male, <=50K
 Private, Some-college, White, Female, <=50K
 State-gov, Bachelors, White, Male, >50K
 Private, Assoc-voc, White, Female, <=50K
 Private, 7th-8th, Other, Male, <=50K
 Private, Masters, White, Male, >50K
 Private, HS-grad, White, Male, <=50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 ?, Some-college, White, Female, >50K
 Private, Some-college, White, Male, <=50K
 Local-gov, Some-college, Black, Female, <=50K
 Private, HS-grad, Black, Female, <=50K
 Private, Some-college, White, Female, <=50K
 Private, Doctorate, White, Male, >50K
 State-gov, Some-college, White, Male, <=50K
 Private, 12th, White, Male, >50K
 Private, 1st-4th, White, Male, <=50K
 Private, 11th, White, Female, <=50K
 Local-gov, 11th, Black, Male, <=50K
 State-gov, HS-grad, White, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Private, 11th, White, Male, <=50K
 State-gov, Bachelors, White, Female, >50K
 Private, HS-grad, White, Male, <=50K
 Private, 10th, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Federal-gov, Masters, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Self-emp-inc, HS-grad, White, Male, >50K
 Local-gov, Masters, White, Male, <=50K
 ?, HS-grad, White, Male, <=50K
 ?, 11th, White, Male, <=50K
 Self-emp-not-inc, Bachelors, White, Female, <=50K
 Private, Assoc-acdm, White, Female, >50K
 Private, Some-college, Asian-Pac-Islander, Male, <=50K
 Private, Masters, White, Male, >50K
 Local-gov, HS-grad, Black, Male, <=50K
 Local-gov, Some-college, White, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Local-gov, Some-college, White, Female, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Federal-gov, HS-grad, White, Male, <=50K
 Private, Some-college, White, Male, >50K
 Private, 9th, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, HS-grad, Black, Female, <=50K
 Private, HS-grad, Amer-Indian-Eskimo, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 ?, 11th, White, Female, <=50K
 Private, HS-grad, Black, Female, <=50K
 Self-emp-inc, Some-college, White, Male, >50K
 Private, HS-grad, White, Male, >50K
 Private, Assoc-acdm, Black, Male, >50K
 Self-emp-not-inc, HS-grad, White, Female, >50K
 Private, Assoc-voc, Asian-Pac-Islander, Male, >50K
 Private, HS-grad, White, Female, <=50K
 Private, Some-college, Black, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 ?, Some-college, White, Male, <=50K
 Private, Assoc-acdm, White, Male, <=50K
 Local-gov, HS-grad, Black, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, 1st-4th, White, Male, <=50K
 Private, Bachelors, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Masters, White, Male, >50K
 Private, Bachelors, White, Female, >50K
 Private, Some-college, White, Male, >50K
 ?, Some-college, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Assoc-voc, White, Female, <=50K
 Private, Bachelors, White, Female, <=50K
 Private, 9th, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, 10th, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, Assoc-acdm, White, Male, <=50K
 Self-emp-not-inc, Some-college, White, Male, <=50K
 State-gov, Bachelors, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 ?, 12th, Black, Male, <=50K
 Private, Some-college, Black, Female, <=50K
 ?, 1st-4th, White, Male, <=50K
 Local-gov, HS-grad, White, Male, <=50K
 Local-gov, Bachelors, White, Female, <=50K
 Private, Bachelors, White, Male, >50K
 Private, HS-grad, White, Female, <=50K
 Federal-gov, HS-grad, White, Male, <=50K
 Private, Assoc-acdm, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Private, 5th-6th, White, Male, <=50K
 Private, Some-college, White, Female, <=50K
 ?, HS-grad, White, Male, <=50K
 Local-gov, HS-grad, White, Male, <=50K
 Local-gov, HS-grad, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Some-college, White, Female, <=50K
 Private, Bachelors, White, Female, <=50K
 Private, Bachelors, Black, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Local-gov, HS-grad, Black, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, Assoc-voc, White, Male, <=50K
 ?, 5th-6th, Black, Female, <=50K
 Private, Assoc-voc, White, Male, <=50K
 Private, Some-college, White, Male, >50K
 Private, HS-grad, White, Male, <=50K
 ?, Assoc-voc, White, Female, <=50K
 Private, Some-college, Amer-Indian-Eskimo, Female, <=50K
 ?, Some-college, White, Male, <=50K
 ?, Some-college, White, Female, <=50K
 Private, Bachelors, White, Male, >50K
 Self-emp-inc, Bachelors, White, Male, >50K
 Private, HS-grad, White, Male, >50K
 Local-gov, Some-college, Black, Male, <=50K
 Local-gov, Some-college, White, Male, >50K
 Private, Some-college, White, Male, >50K
 Private, Some-college, White, Female, <=50K
 Private, Bachelors, White, Male, >50K
 Private, Some-college, White, Female, <=50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Self-emp-not-inc, Masters, White, Male, <=50K
 Private, 11th, Other, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, Black, Male, <=50K
 Private, Assoc-acdm, White, Female, >50K
 Private, Prof-school, White, Male, >50K
 Local-gov, 12th, White, Male, <=50K
 Private, 1st-4th, Black, Female, <=50K
 Private, Assoc-voc, White, Male, <=50K
 Self-emp-inc, Bachelors, White, Female, <=50K
 ?, HS-grad, Black, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Doctorate, White, Male, <=50K
 Private, Some-college, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, 10th, White, Female, <=50K
 Local-gov, Some-college, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Self-emp-not-inc, Some-college, White, Male, <=50K
 Self-emp-not-inc, HS-grad, White, Female, <=50K
 Private, 11th, White, Female, <=50K
 Private, HS-grad, Black, Female, <=50K
 Federal-gov, Assoc-voc, Black, Female, >50K
 Private, 11th, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, 11th, White, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, Bachelors, White, Male, >50K
 Private, Some-college, White, Male, >50K
 Private, HS-grad, Black, Female, <=50K
 Self-emp-not-inc, Bachelors, White, Male, >50K
 Private, HS-grad, Amer-Indian-Eskimo, Male, <=50K
 Self-emp-inc, Masters, White, Male, <=50K
 Private, 7th-8th, White, Female, <=50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Private, Masters, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, 11th, White, Male, <=50K
 Private, Assoc-voc, White, Male, >50K
 Private, Doctorate, White, Female, <=50K
 Private, Bachelors, White, Male, >50K
 ?, 12th, White, Male, <=50K
 Self-emp-not-inc, Assoc-acdm, White, Female, <=50K
 Local-gov, Bachelors, White, Female, <=50K
 Self-emp-not-inc, Some-college, White, Male, <=50K
 ?, Some-college, White, Male, >50K
 Private, HS-grad, White, Male, >50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Self-emp-not-inc, Bachelors, White, Male, <=50K
 Private, Some-college, White, Female, <=50K
 Private, Some-college, White, Male, <=50K
 Private, 11th, White, Male, <=50K
 Private, 10th, White, Male, >50K
 Self-emp-inc, Bachelors, White, Male, <=50K
 ?, HS-grad, White, Male, <=50K
 ?, HS-grad, Asian-Pac-Islander, Female, <=50K
 Private, 7th-8th, White, Male, >50K
 Private, Bachelors, White, Male, >50K
 Private, Bachelors, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 ?, Some-college, Amer-Indian-Eskimo, Female, <=50K
 Self-emp-not-inc, Prof-school, White, Male, >50K
 Private, Some-college, White, Male, <=50K
 Private, Bachelors, White, Female, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, 7th-8th, White, Female, <=50K
 Local-gov, 9th, White, Male, <=50K
 Self-emp-not-inc, Assoc-acdm, White, Male, <=50K
 Private, HS-grad, Black, Female, <=50K
 Private, Masters, White, Male, >50K
 Private, HS-grad, Amer-Indian-Eskimo, Male, <=50K
 Local-gov, HS-grad, Black, Male, <=50K
 Private, 10th, White, Female, <=50K
 Private, Masters, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Local-gov, Bachelors, White, Male, <=50K
 Private, Bachelors, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, Black, Male, <=50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Self-emp-inc, Bachelors, White, Male, <=50K
 Private, Prof-school, White, Male, >50K
 Private, Bachelors, White, Female, <=50K
 Private, 11th, Black, Female, <=50K
 Private, 9th, Black, Female, <=50K
 Private, Assoc-voc, White, Male, <=50K
 Private, 9th, White, Male, <=50K
 Private, HS-grad, Black, Male, <=50K
 Private, HS-grad, White, Male, >50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Private, Some-college, White, Male, >50K
 Private, Bachelors, White, Male, >50K
 Self-emp-not-inc, Some-college, Black, Female, <=50K
 Local-gov, 10th, Black, Female, <=50K
 Private, Some-college, White, Male, >50K
 Private, Bachelors, Black, Female, >50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, Bachelors, White, Male, >50K
 Self-emp-inc, 5th-6th, White, Male, <=50K
 Self-emp-not-inc, Doctorate, White, Male, >50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, Some-college, White, Male, >50K
 Private, Some-college, White, Male, <=50K
 Self-emp-inc, Doctorate, White, Male, >50K
 Local-gov, HS-grad, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 ?, HS-grad, White, Male, <=50K
 State-gov, Bachelors, White, Male, >50K
 Private, Some-college, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Doctorate, Asian-Pac-Islander, Male, >50K
 State-gov, Some-college, White, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 State-gov, Some-college, Asian-Pac-Islander, Female, <=50K
